Avg max force in reinforcement,nominal diameter^2,development length,clear cover,sqrt(avg compressive strength of masonry prisms)
20283,0.25,18,2,63.79655163
19925,0.25,18,2,63.79655163
20164,0.25,18,2,63.79655163
29953,0.390625,30,2,63.79655163
28397,0.390625,30,2,63.79655163
28178,0.390625,30,2,63.79655163
39536,0.5625,36,2,63.79655163
37845,0.5625,36,2,63.79655163
37964,0.5625,36,2,63.79655163
47216,0.765625,42,2,63.79655163
48846,0.765625,42,2,63.79655163
48846,0.765625,42,2,63.79655163
57707,1,48,2,63.79655163
56911,1,48,2,63.79655163
59693,1,48,2,63.79655163
64454,1.272384,54,2,63.79655163
64733,1.272384,54,2,63.79655163
67523,1.272384,54,2,63.79655163
18040,0.25,18,2,41.23105626
16582,0.25,18,2,41.23105626
15805,0.25,18,2,41.23105626
21565,0.390625,30,2,41.23105626
23852,0.390625,30,2,41.23105626
31608,0.5625,36,2,41.23105626
31310,0.5625,36,2,41.23105626
27979,0.5625,36,2,41.23105626
32944,0.5625,36,3,41.23105626
31725,0.5625,36,3,41.23105626
34864,0.5625,36,3,41.23105626
39543,0.765625,42,2,41.23105626
34215,0.765625,42,2,41.23105626
37410,0.765625,42,2,41.23105626
45271,0.765625,42,3,41.23105626
43395,0.765625,42,3,41.23105626
44045,0.765625,42,3,41.23105626
34261,1,48,3,41.23105626
43146,1,48,3,41.23105626
37787,1,48,3,41.23105626
50699,1,64,2,41.23105626
52343,1,64,2,41.23105626
53996,1.272384,54,3,41.23105626
50155,1.272384,54,3,41.23105626
38329,1.272384,54,3,41.23105626
49200,1.272384,72,2,41.23105626
61120,1.272384,72,2,41.23105626
58643,1.272384,72,2,41.23105626
49942,0.765625,42,3.4,56.8770604
46612,0.765625,42,3.4,56.8770604
38289,0.765625,42,3.4,56.8770604
50892,0.765625,42,3.4,56.8770604
49734,0.765625,42,3.4,56.8770604
50150,0.765625,42,3.4,56.8770604
53271,0.765625,67,3.4,56.8770604
53063,0.765625,67,3.4,56.8770604
51814,0.765625,67,3.4,56.8770604
51919,0.765625,74,3.4,56.8770604
52231,0.765625,74,3.4,56.8770604
49942,0.765625,74,3.4,56.8770604
49942,1,48,3.3,56.8770604
59722,1,48,3.3,56.8770604
57225,1,48,3.3,56.8770604
63051,1,88,3.3,56.8770604
62635,1,88,3.3,56.8770604
62531,1,88,3.3,56.8770604
79548,1,98,3.3,56.8770604
81524,1,98,3.3,56.8770604
80471,1,98,3.3,56.8770604
67629,1.272384,54,3.2,56.8770604
65756,1.272384,54,3.2,56.8770604
69814,1.272384,54,3.2,56.8770604
77305,1.272384,114,3.2,56.8770604
74912,1.272384,114,3.2,56.8770604
77201,1.272384,114,3.2,56.8770604
75329,1.272384,127,3.2,56.8770604
75849,1.272384,127,3.2,56.8770604
75849,1.272384,127,3.2,56.8770604
30964,0.390625,20,3.5,53.38539126
27297,0.390625,20,3.5,53.38539126
31168,0.390625,20,3.5,53.38539126
9800,0.25,11.5,1.5,55.85696018
10700,0.25,11.5,1.8,55.85696018
13200,0.25,15.5,1.8,55.85696018
12900,0.25,15.5,1.5,55.85696018
12300,0.25,19.5,1.5,55.85696018
13100,0.25,19.5,1.8,55.85696018
21900,0.5625,27.5,1.75,55.85696018
22400,0.5625,27.5,1.75,55.85696018
26200,0.5625,35.5,1.5,55.85696018
25400,0.5625,35.5,1.625,55.85696018
14200,0.25,11.5,2.8,55.85696018
14600,0.25,11.5,2.8,55.85696018
18000,0.25,15.5,2.8,55.85696018
17500,0.25,15.5,2.8,55.85696018
20900,0.25,19.5,2.8,55.85696018
20800,0.25,19.5,2.8,55.85696018
21800,0.5625,19.5,2.5,55.85696018
21200,0.5625,19.5,2.75,55.85696018
28000,0.5625,27.5,2.75,55.85696018
28000,0.5625,27.5,2.75,55.85696018
29000,0.5625,35.5,2.5,55.85696018
29200,0.5625,35.5,2.25,55.85696018
19900,0.25,11.5,4,55.85696018
19700,0.25,11.5,3.5,55.85696018
19500,0.25,15.5,3.5,55.85696018
15700,0.25,15.5,3.75,55.85696018
12800,0.25,19.5,3.5,55.85696018
28200,0.25,19.5,3.5,55.85696018
28000,0.5625,19.5,3.75,55.85696018
31700,0.5625,19.5,3.5,55.85696018
30800,0.5625,27.5,3.75,55.85696018
31600,0.5625,27.5,3.75,55.85696018
33800,0.5625,35.5,3.5,55.85696018
44000,1,31.5,3.75,55.85696018
42800,1,31.5,3.5,55.85696018
48600,1,39.5,3.5,55.85696018
50800,1,39.5,3.75,55.85696018
48100,1,39.5,3.5,55.85696018
50800,1,47.5,3.5,55.85696018
51300,1,47.5,3.8,55.85696018
80200,1.9881,71.5,4,55.85696018
77800,1.9881,71.5,3.5,55.85696018
29000,0.5625,19.5,4,55.85696018
28800,0.5625,19.5,4,55.85696018
32700,0.5625,27.5,4,55.85696018
33000,0.5625,27.5,4,55.85696018
34200,0.5625,35.5,4,55.85696018
34900,0.5625,35.5,4,55.85696018
48200,1,31.5,4,55.85696018
48800,1,31.5,4,55.85696018
56800,1,47.5,4,55.85696018
53600,1,47.5,4.5,55.85696018
71200,1.9881,47.5,3.8,55.85696018
67500,1.9881,47.5,1.2,55.85696018
76900,1.9881,59.5,4,55.85696018
82400,1.9881,59.5,3.5,55.85696018
91900,1.9881,71.5,4,55.85696018
91000,1.9881,71.5,4,55.85696018
28800,0.5625,19.5,3.75,55.85696018
28400,0.5625,19.5,3.75,55.85696018
33900,0.5625,27.5,3.375,55.85696018
33300,0.5625,27.5,4,55.85696018
42500,0.5625,35.5,4.25,55.85696018
36700,0.5625,35.5,4,55.85696018
47000,1,31.5,3.8,55.85696018
46600,1,31.5,3.8,55.85696018
53200,1,39.5,4.3,55.85696018
52200,1,39.5,4,55.85696018
56100,1,47.5,4,55.85696018
53100,1,47.5,4.3,55.85696018
65900,1.9881,47.5,3.5,55.85696018
70000,1.9881,47.5,3.8,55.85696018
74300,1.9881,71.5,4,55.85696018
90700,1.9881,71.5,4,55.85696018
48000,0.765625,52.5,3.375,51.05878964
47400,0.765625,52.5,3.375,51.05878964
48000,0.765625,52.5,3.375,51.05878964
46800,0.765625,42,3.375,51.05878964
48000,0.765625,42,3.375,51.05878964
45600,0.765625,42,3.375,51.05878964
42000,0.765625,30.63,3.375,51.05878964
40800,0.765625,30.63,3.375,51.05878964
39600,0.765625,30.63,3.375,51.05878964
32400,0.390625,30,3.5,51.05878964
31800,0.390625,30,3.5,51.05878964
31200,0.390625,30,3.5,51.05878964
31200,0.390625,21.88,3.5,51.05878964
29400,0.390625,21.88,3.5,51.05878964
26400,0.390625,21.88,3.5,51.05878964
